"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
13,MIAMI-DADE,4341,PARKWAY ELEMENTARY SCHOOL,178,159,89.3%
13,MIAMI-DADE,4381,DR. HENRY E. PERRINE ACADEMY OF THE ARTS,513,498,97.1%
13,MIAMI-DADE,4391,IRVING & BEATRICE PESKOE K-8 CENTER,726,692,95.3%
13,MIAMI-DADE,4401,KELSEY L. PHARR ELEMENTARY SCHOOL,294,276,93.9%
13,MIAMI-DADE,4421,PINECREST ELEMENTARY SCHOOL,"1,001",990,98.9%
13,MIAMI-DADE,4441,PINE LAKE ELEMENTARY SCHOOL,335,309,92.2%
13,MIAMI-DADE,4461,PINE VILLA ELEMENTARY SCHOOL,219,200,91.3%
13,MIAMI-DADE,4491,HENRY E.S. REEVES K-8 CENTER,830,787,94.8%
13,MIAMI-DADE,4501,POINCIANA PARK ELEMENTARY SCHOOL,169,162,95.9%
13,MIAMI-DADE,4511,DR. GILBERT L. PORTER ELEMENTARY SCHOOL,586,573,97.8%
13,MIAMI-DADE,4541,RAINBOW PARK ELEMENTARY SCHOOL,172,162,94.2%
13,MIAMI-DADE,4581,REDLAND ELEMENTARY SCHOOL,974,934,95.9%
13,MIAMI-DADE,4611,REDONDO ELEMENTARY SCHOOL,569,549,96.5%
13,MIAMI-DADE,4681,RIVERSIDE ELEMENTARY SCHOOL,842,783,93.0%
13,MIAMI-DADE,4691,JANE S. ROBERTS K-8 CENTER,630,616,97.8%
13,MIAMI-DADE,4721,ROCKWAY ELEMENTARY SCHOOL,370,360,97.3%
13,MIAMI-DADE,4741,ROYAL GREEN ELEMENTARY SCHOOL,371,363,97.8%
13,MIAMI-DADE,4761,ROYAL PALM ELEMENTARY SCHOOL,514,502,97.7%
13,MIAMI-DADE,4801,GERTRUDE K. EDELMAN/SABAL PALM,476,446,93.7%
13,MIAMI-DADE,4841,SANTA CLARA ELEMENTARY SCHOOL,532,516,97.0%
13,MIAMI-DADE,4881,SCOTT LAKE ELEMENTARY SCHOOL,472,455,96.4%
13,MIAMI-DADE,4921,SEMINOLE ELEMENTARY SCHOOL,508,484,95.3%
13,MIAMI-DADE,5001,SHENANDOAH ELEMENTARY SCHOOL,805,779,96.8%
13,MIAMI-DADE,5002,SOMERSET PREPARATORY ACADEMY SUNSET,350,345,98.6%
13,MIAMI-DADE,5003,SOUTH DADE MIDDLE SCHOOL,"1,304","1,257",96.4%
13,MIAMI-DADE,5004,PINECREST NORTH PREPARATORY (FONTAINEBLEAU CAMPUS),727,706,97.1%
13,MIAMI-DADE,5005,DAVID LAWRENCE JR. K-8 CENTER,"1,246","1,187",95.3%
13,MIAMI-DADE,5006,EVERGLADES PREPARATORY ACADEMY,374,368,98.4%
13,MIAMI-DADE,5007,LINCOLN-MARTI CHARTER SCHOOL (HIALEAH CAMPUS),171,158,92.4%
13,MIAMI-DADE,5008,SOMERSET GABLES ACADEMY,556,546,98.2%
13,MIAMI-DADE,5015,SOMERSET PALMS ACADEMY,324,319,98.5%
13,MIAMI-DADE,5020,BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS,188,180,95.7%
13,MIAMI-DADE,5021,BEN SHEPPARD ELEMENTARY SCHOOL,927,876,94.5%
13,MIAMI-DADE,5022,BEN GAMLA CHARTER SCHOOL,165,160,97.0%
13,MIAMI-DADE,5025,LINCOLN-MARTI CHARTER SCHOOL (LITTLE HAVANA CAMPUS),674,630,93.5%
13,MIAMI-DADE,5028,BRIDGEPREP ACADEMY OF MIAMI DADE,"1,316","1,260",95.7%
13,MIAMI-DADE,5029,EXCELSIOR PREP CHARTER SCHOOL OF HIALEAH,287,272,94.8%
13,MIAMI-DADE,5032,EXCELSIOR PREP CHARTER SCHOOL OF MIAMI GARDENS,413,388,93.9%
13,MIAMI-DADE,5041,SILVER BLUFF ELEMENTARY SCHOOL,358,338,94.4%
13,MIAMI-DADE,5043,LINCOLN-MARTI SCHOOLS (INTERNATIONAL CAMPUS),210,200,95.2%
13,MIAMI-DADE,5045,MATER GROVE ACADEMY,"1,233","1,209",98.1%
13,MIAMI-DADE,5047,MATER ACADEMY (MIAMI BEACH),586,561,95.7%
13,MIAMI-DADE,5048,PINECREST ACADEMY (NORTH CAMPUS),468,460,98.3%
13,MIAMI-DADE,5049,PINECREST COVE ACADEMY,938,929,99.0%
13,MIAMI-DADE,5051,ERNEST R. GRAHAM K-8 ACADEMY,947,917,96.8%
13,MIAMI-DADE,5052,MATER LAKES COLLEGIATE ACADEMY HIGH SCHOOL,288,271,94.1%
13,MIAMI-DADE,5056,BRIGHTVIEW PREPARATORY ACADEMY,112,106,94.6%
13,MIAMI-DADE,5057,MATER LAKES COLLEGIATE ACADEMY MIDDLE SCHOOL,332,326,98.2%
13,MIAMI-DADE,5061,DR. CARLOS J. FINLAY ELEMENTARY,540,512,94.8%
13,MIAMI-DADE,5062,SOMERSET ACADEMY BAY,410,408,99.5%
13,MIAMI-DADE,5081,DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL,336,318,94.6%
13,MIAMI-DADE,5091,MIAMI BEACH SOUTH POINTE ELEMENTARY SCHOOL,462,452,97.8%
13,MIAMI-DADE,5101,JOHN I. SMITH K-8 CENTER,785,744,94.8%
13,MIAMI-DADE,5119,MY CA.SA CHARTER SCHOOL,115,108,93.9%
13,MIAMI-DADE,5121,SNAPPER CREEK ELEMENTARY SCHOOL,362,347,95.9%
13,MIAMI-DADE,5131,NORTH DADE CENTER FOR MODERN LANGUAGES,315,308,97.8%
13,MIAMI-DADE,5141,HUBERT O. SIBLEY K-8 ACADEMY,812,756,93.1%
13,MIAMI-DADE,5201,SOUTH HIALEAH ELEMENTARY SCHOOL,899,856,95.2%
13,MIAMI-DADE,5219,DORAL ACADEMY NORTH CHARTER ELEMENTARY,200,199,99.5%
13,MIAMI-DADE,5241,SOUTH MIAMI K-8 CENTER,508,491,96.7%
13,MIAMI-DADE,5281,SOUTH MIAMI HEIGHTS ELEMENTARY,436,411,94.3%
13,MIAMI-DADE,5321,SOUTHSIDE PREPARATORY ACADEMY,873,848,97.1%
13,MIAMI-DADE,5361,SPRINGVIEW ELEMENTARY SCHOOL,302,292,96.7%
13,MIAMI-DADE,5381,E.W.F. STIRRUP ELEMENTARY SCHOOL,611,584,95.6%
13,MIAMI-DADE,5384,IMATER ACADEMY,590,569,96.4%
13,MIAMI-DADE,5401,SUNSET ELEMENTARY SCHOOL,"1,192","1,169",98.1%
13,MIAMI-DADE,5410,ALPHA CHARTER OF EXCELLENCE,262,253,96.6%
13,MIAMI-DADE,5412,MATER BRICKELL ACADEMY MIDDLE,525,515,98.1%
13,MIAMI-DADE,5416,MATER ACADEMY KIWANIS,236,227,96.2%
13,MIAMI-DADE,5417,MIAMI TECH AT MATER INNOVATION ACADEMY,37,35,94.6%
13,MIAMI-DADE,5421,SUNSET PARK ELEMENTARY SCHOOL,390,373,95.6%
13,MIAMI-DADE,5422,MATER BRICKELL ACADEMY HIGH,487,470,96.5%
13,MIAMI-DADE,5431,SWEETWATER ELEMENTARY SCHOOL,463,434,93.7%
13,MIAMI-DADE,5441,SYLVANIA HEIGHTS ELEMENTARY SCHOOL,551,533,96.7%
13,MIAMI-DADE,5481,TREASURE ISLAND ELEMENTARY SCHOOL,412,381,92.5%
13,MIAMI-DADE,5521,TROPICAL ELEMENTARY SCHOOL,367,360,98.1%
13,MIAMI-DADE,5555,MATER BISCAYNE ACADEMY NORTH MIAMI MIDDLE SCHOOL,566,547,96.6%
13,MIAMI-DADE,5556,MATER BISCAYNE ACADEMY NORTH MIAMI HIGH SCHOOL,308,294,95.5%
13,MIAMI-DADE,5561,FRANCIS S.TUCKER K-8 CENTER,344,326,94.8%
13,MIAMI-DADE,5601,TWIN LAKES ELEMENTARY SCHOOL,325,308,94.8%
13,MIAMI-DADE,5641,VILLAGE GREEN ELEMENTARY SCHOOL,264,261,98.9%
13,MIAMI-DADE,5671,VINELAND K-8 CENTER,671,656,97.8%
13,MIAMI-DADE,5711,MAE M. WALTERS ELEMENTARY SCHOOL,620,599,96.6%
13,MIAMI-DADE,5791,WEST HOMESTEAD K-8 CENTER,864,832,96.3%
13,MIAMI-DADE,5831,HENRY S. WEST LABORATORY SCHOOL,373,370,99.2%
13,MIAMI-DADE,5836,SOUTH PREP SCHOLARS ACADEMY,138,131,94.9%
13,MIAMI-DADE,5861,DR. HENRY W. MACK/WEST LITTLE RIVER K-8 CENTER,383,361,94.3%
13,MIAMI-DADE,5901,CARRIE P. MEEK/WESTVIEW K-8 CENTER,548,513,93.6%
13,MIAMI-DADE,5931,PHYLLIS WHEATLEY ELEMENTARY SCHOOL,145,123,84.8%
13,MIAMI-DADE,5951,WHISPERING PINES ELEMENTARY SCHOOL,500,484,96.8%
13,MIAMI-DADE,5961,WINSTON PARK K-8 CENTER,"1,067","1,026",96.2%
13,MIAMI-DADE,5971,NATHAN B. YOUNG ELEMENTARY SCHOOL,310,283,91.3%
13,MIAMI-DADE,5981,DR. EDWARD L. WHIGHAM ELEMENTARY SCHOOL,731,685,93.7%
13,MIAMI-DADE,5991,"CHARLES DAVID WYCHE, JR ELEMENTARY SCHOOL",568,522,91.9%
13,MIAMI-DADE,6001,HERBERT A. AMMONS MIDDLE SCHOOL,999,982,98.3%
13,MIAMI-DADE,6004,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL,594,577,97.1%
13,MIAMI-DADE,6006,ARCHIMEDEAN MIDDLE CONSERVATORY,328,323,98.5%
13,MIAMI-DADE,6011,GEORGIA JONES AYERS MIDDLE SCHOOL,448,413,92.2%
13,MIAMI-DADE,6012,MATER ACADEMY CHARTER MIDDLE SCHOOL,"1,219","1,187",97.4%
13,MIAMI-DADE,6013,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (SOUTH HOMESTEAD),484,472,97.5%
13,MIAMI-DADE,6014,IMATER ACADEMY MIDDLE SCHOOL,783,762,97.3%
13,MIAMI-DADE,6015,SPORTS LEADERSHIP AND MANAGEMENT CHARTER SCHOOL MIDDLE SCHOOL,893,857,96.0%
13,MIAMI-DADE,6016,COLEGIATE PREPARATORY ACADEMY,114,106,93.0%
13,MIAMI-DADE,6017,INTERNATIONAL STUDIES VIRTUAL ACADEMY,24,24,100.0%
13,MIAMI-DADE,6018,THE SEED SCHOOL OF MIAMI,232,217,93.5%
13,MIAMI-DADE,6021,ARVIDA MIDDLE SCHOOL,989,962,97.3%
13,MIAMI-DADE,6022,PINECREST ACADEMY CHARTER MIDDLE SCHOOL,494,484,98.0%
13,MIAMI-DADE,6023,ANDOVER MIDDLE SCHOOL,379,356,93.9%
13,MIAMI-DADE,6024,SPORTS LEADERSHIP AND MANAGEMENT (SLAM) MIDDLE SCHOOL - NORTH CAMPUS,211,204,96.7%
13,MIAMI-DADE,6028,RENAISSANCE MIDDLE CHARTER SCHOOL,391,370,94.6%
13,MIAMI-DADE,6030,DORAL ACADEMY CHARTER MIDDLE SCHOOL,"1,351","1,337",99.0%
13,MIAMI-DADE,6031,BROWNSVILLE MIDDLE SCHOOL,477,436,91.4%
13,MIAMI-DADE,6032,MATER ACADEMY BAY MIDDLE SCHOOL,518,514,99.2%
13,MIAMI-DADE,6033,MATER ACADEMY LAKES MIDDLE SCHOOL,870,850,97.7%
13,MIAMI-DADE,6034,BEACON COLLEGE PREP K-8,424,383,90.3%
13,MIAMI-DADE,6040,DOCTORS CHARTER SCHOOL OF MIAMI SHORES,567,555,97.9%
13,MIAMI-DADE,6041,PAUL W. BELL MIDDLE SCHOOL,483,458,94.8%
13,MIAMI-DADE,6045,INTERNATIONAL STUDIES CHARTER MIDDLE SCHOOL,320,317,99.1%
13,MIAMI-DADE,6046,SOMERSET PREPARATORY ACADEMY MIDDLE SCHOOL (HOMESTEAD),385,369,95.8%
13,MIAMI-DADE,6047,MATER INTERNATIONAL PREPARATORY,212,209,98.6%
13,MIAMI-DADE,6048,MIAMI COMMUNITY CHARTER MIDDLE SCHOOL,323,319,98.8%
13,MIAMI-DADE,6051,CAROL CITY MIDDLE SCHOOL,411,390,94.9%
13,MIAMI-DADE,6052,MIAMI ARTS STUDIO 6-12 AT ZELDA GLAZER,"1,799","1,789",99.4%
13,MIAMI-DADE,6053,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (SOUTH MIAMI CAMPUS),166,163,98.2%
13,MIAMI-DADE,6057,PHOENIX ACADEMY OF EXCELLENCE NORTH,45,39,86.7%
13,MIAMI-DADE,6071,GEORGE WASHINGTON CARVER MIDDLE SCHOOL,941,928,98.6%
13,MIAMI-DADE,6081,CUTLER BAY SENIOR HIGH SCHOOL,590,583,98.8%
13,MIAMI-DADE,6082,ACADEMIR CHARTER SCHOOL MIDDLE,299,295,98.7%
13,MIAMI-DADE,6083,JUST ARTS AND MANAGEMENT CHARTER MIDDLE SCHOOL,288,284,98.6%
13,MIAMI-DADE,6093,ACADEMY FOR INNOVATIVE EDUCATION,"1,063","1,042",98.0%
13,MIAMI-DADE,6099,PHOENIX ACADEMY OF EXCELLENCE,27,23,85.2%
13,MIAMI-DADE,6111,CUTLER BAY MIDDLE,935,873,93.4%
13,MIAMI-DADE,6121,RUBEN DARIO MIDDLE SCHOOL,484,448,92.6%
13,MIAMI-DADE,6128,SOMERSET ACADEMY BAY MIDDLE SCHOOL,259,256,98.8%
13,MIAMI-DADE,6161,LAWTON CHILES MIDDLE SCHOOL,514,497,96.7%
13,MIAMI-DADE,6171,HENRY H. FILER MIDDLE SCHOOL,732,692,94.5%
13,MIAMI-DADE,6211,GLADES MIDDLE SCHOOL,533,522,97.9%
13,MIAMI-DADE,6221,HAMMOCKS MIDDLE SCHOOL,486,462,95.1%
13,MIAMI-DADE,6231,HIALEAH MIDDLE SCHOOL,"1,002",962,96.0%
13,MIAMI-DADE,6241,HIGHLAND OAKS MIDDLE SCHOOL,736,706,95.9%
13,MIAMI-DADE,6251,HOMESTEAD MIDDLE SCHOOL,545,501,91.9%
13,MIAMI-DADE,6281,THOMAS JEFFERSON BISCAYNE GARDENS K-8 ACADEMY,787,748,95.0%
13,MIAMI-DADE,6301,JOHN F. KENNEDY MIDDLE SCHOOL,"1,052","1,011",96.1%
13,MIAMI-DADE,6331,KINLOCH PARK MIDDLE SCHOOL,746,695,93.2%
13,MIAMI-DADE,6351,LAKE STEVENS MIDDLE SCHOOL,509,475,93.3%
13,MIAMI-DADE,6361,JOSE DE DIEGO MIDDLE SCHOOL,647,582,90.0%
13,MIAMI-DADE,6391,MADISON MIDDLE SCHOOL,458,422,92.1%
13,MIAMI-DADE,6411,HORACE MANN MIDDLE SCHOOL,342,322,94.2%
13,MIAMI-DADE,6441,HOWARD D. MCMILLAN MIDDLE SCHOOL,957,933,97.5%
13,MIAMI-DADE,6501,MIAMI LAKES MIDDLE SCHOOL,987,941,95.3%
13,MIAMI-DADE,6521,MIAMI SPRINGS MIDDLE SCHOOL,666,601,90.2%
13,MIAMI-DADE,6541,MIAMI BEACH NAUTILUS MIDDLE SCHOOL,893,866,97.0%
13,MIAMI-DADE,6571,NORLAND MIDDLE SCHOOL,656,626,95.4%
13,MIAMI-DADE,6591,NORTH DADE MIDDLE SCHOOL,327,282,86.2%
13,MIAMI-DADE,6611,COUNTRY CLUB MIDDLE SCHOOL,496,463,93.3%
13,MIAMI-DADE,6631,NORTH MIAMI MIDDLE SCHOOL,724,657,90.7%
13,MIAMI-DADE,6681,PALM SPRINGS MIDDLE SCHOOL,698,656,94.0%
13,MIAMI-DADE,6701,PALMETTO MIDDLE SCHOOL,715,703,98.3%
13,MIAMI-DADE,6741,PONCE DE LEON MIDDLE SCHOOL,778,749,96.3%
13,MIAMI-DADE,6751,HIALEAH GARDENS MIDDLE SCHOOL,"1,551","1,503",96.9%
13,MIAMI-DADE,6761,REDLAND MIDDLE SCHOOL,661,613,92.7%
13,MIAMI-DADE,6771,JORGE MAS CANOSA MIDDLE SCHOOL,"1,019",979,96.1%
13,MIAMI-DADE,6781,RICHMOND HEIGHTS MIDDLE SCHOOL,345,326,94.5%
13,MIAMI-DADE,6801,RIVIERA MIDDLE SCHOOL,479,461,96.2%
13,MIAMI-DADE,6821,ROCKWAY MIDDLE SCHOOL,888,864,97.3%
13,MIAMI-DADE,6841,SHENANDOAH MIDDLE SCHOOL,"1,231","1,198",97.3%
13,MIAMI-DADE,6861,SOUTHWOOD MIDDLE SCHOOL,"1,063","1,036",97.5%
13,MIAMI-DADE,6881,SOUTH MIAMI MIDDLE SCHOOL,720,705,97.9%
13,MIAMI-DADE,6901,W. R. THOMAS MIDDLE SCHOOL,507,481,94.9%
13,MIAMI-DADE,6921,LAMAR LOUISE CURRY MIDDLE SCHOOL,718,697,97.1%
13,MIAMI-DADE,6961,WEST MIAMI MIDDLE SCHOOL,599,560,93.5%
13,MIAMI-DADE,6997,MATER ACADEMY VIRTUAL CHARTER SCHOOL,99,90,90.9%
13,MIAMI-DADE,7001,MIAMI-DADE ONLINE ACADEMY- VIRTUAL INSTRUCTION PROGRAM,297,262,88.2%
13,MIAMI-DADE,7004,MIAMI-DADE VIRTUAL HIGH SCHOOL FRANCHISE,498,472,94.8%
13,MIAMI-DADE,7005,ITECH@THOMAS A EDISON EDUCATIONAL CENTER,230,221,96.1%
13,MIAMI-DADE,7006,GRADUATION ALLIANCE,209,128,61.2%
13,MIAMI-DADE,7007,INTERNATIONAL STUDIES CHARTER HIGH SCHOOL,376,371,98.7%
13,MIAMI-DADE,7008,BIOTECH@RICHMOND HEIGHTS 9-12 HIGH SCHOOL,297,289,97.3%
13,MIAMI-DADE,7009,DORAL PERFORMING ARTS & ENTERTAINMENT ACADEMY,369,368,99.7%
13,MIAMI-DADE,7011,AMERICAN SENIOR HIGH SCHOOL,"1,582","1,479",93.5%
13,MIAMI-DADE,7014,MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY,315,313,99.4%
13,MIAMI-DADE,7015,STELLAR LEADERSHIP ACADEMY,312,299,95.8%
13,MIAMI-DADE,7016,SPORTS LEADERSHIP ARTS MANAGEMENT CHARTER HIGH SCHOOL,986,960,97.4%
13,MIAMI-DADE,7018,MATER ACADEMY LAKES HIGH SCHOOL,"1,201","1,181",98.3%
13,MIAMI-DADE,7020,DORAL ACADEMY CHARTER HIGH SCHOOL,"2,073","2,036",98.2%
13,MIAMI-DADE,7021,CENTER FOR INTERNATIONAL EDUCATION A CAMBRIDGE ASSOCIATE SCHOOL,392,377,96.2%
13,MIAMI-DADE,7026,DON SOFFER AVENTURA CHARTER HIGH SCHOOL,820,812,99.0%
13,MIAMI-DADE,7027,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,"1,159","1,145",98.8%
13,MIAMI-DADE,7029,TERRA ENVIRONMENTAL RESEARCH INSTITUTE,"1,644","1,628",99.0%
13,MIAMI-DADE,7031,MAST@FIU,489,484,99.0%
13,MIAMI-DADE,7032,PALM GLADES PREPARATORY HIGH SCHOOL,229,213,93.0%
13,MIAMI-DADE,7033,LAW ENFORCEMENT OFFICERS MEMORIAL HIGH SCHOOL,281,269,95.7%
13,MIAMI-DADE,7034,SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD),497,475,95.6%
13,MIAMI-DADE,7041,SCHOOL FOR ADVANCED STUDIES-WOLFSON,135,134,99.3%
13,MIAMI-DADE,7042,SOMERSET ACADEMY CHARTER HIGH SCHOOL,971,954,98.2%
13,MIAMI-DADE,7044,DOWNTOWN DORAL CHARTER UPPER SCHOOL,"1,500","1,469",97.9%
13,MIAMI-DADE,7048,ALONZO & TRACY MOURNING SENIOR HIGH SCHOOL,"1,633","1,555",95.2%
13,MIAMI-DADE,7049,WESTLAND HIALEAH SENIOR HIGH SCHOOL,"1,191","1,116",93.7%
13,MIAMI-DADE,7050,KEYS GATE CHARTER HIGH SCHOOL,763,728,95.4%
13,MIAMI-DADE,7051,G. HOLMES BRADDOCK SENIOR HIGH,"2,291","2,210",96.5%
13,MIAMI-DADE,7053,PINECREST PREPARATORY ACADEMY CHARTER HIGH SCHOOL,529,524,99.1%
13,MIAMI-DADE,7055,YOUNG WOMENS PREPARATORY ACADEMY,295,284,96.3%
13,MIAMI-DADE,7056,YOUNG MEN'S PREPARATORY ACADEMY,165,161,97.6%
13,MIAMI-DADE,7058,MIAMI COMMUNITY CHARTER HIGH SCHOOL,265,257,97.0%
13,MIAMI-DADE,7059,MIAMI ARTS CHARTER SCHOOL,959,929,96.9%
13,MIAMI-DADE,7060,EVERGLADES PREPARATORY ACADEMY HIGH SCHOOL,464,438,94.4%
13,MIAMI-DADE,7061,SCHOOL FOR ADVANCED STUDIES NORTH,113,112,99.1%
13,MIAMI-DADE,7062,C. G. BETHEL HIGH SCHOOL,269,241,89.6%
13,MIAMI-DADE,7065,CHAMBERS HIGH SCHOOL,243,173,71.2%
13,MIAMI-DADE,7067,GREEN SPRINGS HIGH SCHOOL,556,419,75.4%
13,MIAMI-DADE,7068,NORTH GARDENS HIGH SCHOOL,454,326,71.8%
13,MIAMI-DADE,7069,NORTH PARK HIGH SCHOOL,431,323,74.9%
13,MIAMI-DADE,7070,YOUTH CO-OP PREPARATORY HIGH SCHOOL,240,237,98.8%
13,MIAMI-DADE,7071,CORAL GABLES SENIOR HIGH SCHOOL,"2,894","2,801",96.8%
13,MIAMI-DADE,7073,ACADEMY FOR ADVANCED ACADEMICS,136,133,97.8%
13,MIAMI-DADE,7078,SOMERSET COLLEGE PREPARATORY ACADEMY SOUTH HIGH SCHOOL,315,306,97.1%
13,MIAMI-DADE,7079,PINECREST NORTH PREPARATORY HIGH SCHOOL,204,199,97.5%
13,MIAMI-DADE,7080,CHARTER HIGH SCHOOL OF THE AMERICAS,179,167,93.3%
13,MIAMI-DADE,7081,DESIGN & ARCHITECTURE SENIOR HIGH,486,482,99.2%
13,MIAMI-DADE,7090,IMATER PREPARATORY ACADEMY HIGH SCHOOL,994,961,96.7%
13,MIAMI-DADE,7091,SCHOOL FOR ADVANCED STUDIES - SOUTH,290,289,99.7%
13,MIAMI-DADE,7101,CORAL REEF SENIOR HIGH SCHOOL,"3,399","3,351",98.6%
13,MIAMI-DADE,7108,SPORTS LEADERSHIP ARTS MANAGEMENT CHARTER HIGH SCHOOL (NORTH CAMPUS),278,271,97.5%
13,MIAMI-DADE,7111,HIALEAH SENIOR HIGH SCHOOL,"1,711","1,602",93.6%
13,MIAMI-DADE,7120,MATER ACADEMY BAY HIGH SCHOOL,390,384,98.5%
13,MIAMI-DADE,7121,JOHN A. FERGUSON SENIOR HIGH,"4,291","4,166",97.1%
13,MIAMI-DADE,7131,HIALEAH-MIAMI LAKES SENIOR HIGH,"1,367","1,270",92.9%
13,MIAMI-DADE,7141,DR. MICHAEL M. KROP SENIOR HIGH,"2,165","2,043",94.4%
13,MIAMI-DADE,7144,CHARTER HIGH SCHOOL OF THE AMERICAS (FLORIDA CITY CAMPUS),48,47,97.9%
13,MIAMI-DADE,7151,HOMESTEAD SENIOR HIGH SCHOOL,"2,323","2,100",90.4%
13,MIAMI-DADE,7160,MATER ACADEMY CHARTER HIGH SCHOOL,"1,611","1,571",97.5%
13,MIAMI-DADE,7161,MAST ACADEMY,"1,571","1,535",97.7%
13,MIAMI-DADE,7171,MEDICAL ACADEMY FOR SCIENCE AND TECHNOLOGY (M.A.S.T.) @ HOMESTEAD,511,504,98.6%
13,MIAMI-DADE,7191,HIALEAH GARDENS SENIOR HIGH SCHOOL,"3,009","2,830",94.1%
13,MIAMI-DADE,7201,MIAMI BEACH SENIOR HIGH SCHOOL,"2,134","2,029",95.1%
13,MIAMI-DADE,7231,MIAMI CAROL CITY SENIOR HIGH,859,787,91.6%
13,MIAMI-DADE,7241,RONALD W. REAGAN/DORAL SENIOR HIGH SCHOOL,"1,288","1,226",95.2%
13,MIAMI-DADE,7242,SOMERSET PREPARATORY ACADEMY HIGH SCHOOL HOMESTEAD,376,360,95.7%
13,MIAMI-DADE,7251,MIAMI CENTRAL SENIOR HIGH SCHOOL,"1,414","1,264",89.4%
13,MIAMI-DADE,7261,SCHOOL FOR ADVANCED STUDIES,119,115,96.6%
13,MIAMI-DADE,7262,CITY OF HIALEAH EDUCATIONAL ACADEMY,"1,002",978,97.6%
13,MIAMI-DADE,7265,ARCHIMEDEAN UPPER CONSERVATORY,306,298,97.4%
13,MIAMI-DADE,7271,MIAMI CORAL PARK SENIOR HIGH,"2,082","1,966",94.4%
13,MIAMI-DADE,7291,JOSE MARTI MAST 6-12 ACADEMY,"1,008",989,98.1%
13,MIAMI-DADE,7301,MIAMI EDISON SENIOR HIGH SCHOOL,617,546,88.5%
13,MIAMI-DADE,7341,MIAMI JACKSON SENIOR HIGH SCHOOL,"1,213","1,109",91.4%
13,MIAMI-DADE,7351,ARTHUR AND POLLY MAYS CONSERVATORY OF THE ARTS,514,496,96.5%
13,MIAMI-DADE,7361,MIAMI KILLIAN SENIOR HIGH SCHOOL,675,615,91.1%
13,MIAMI-DADE,7371,ROBERT MORGAN SENIOR HIGH SCHOOL,"1,780","1,739",97.7%
13,MIAMI-DADE,7381,MIAMI NORLAND SENIOR HIGH SCHOOL,"1,653","1,546",93.5%
13,MIAMI-DADE,7391,MIAMI LAKES EDUCATIONAL CENTER,"1,109","1,086",97.9%
13,MIAMI-DADE,7411,MIAMI NORTHWESTERN SENIOR HIGH,"1,479","1,372",92.8%
13,MIAMI-DADE,7431,MIAMI PALMETTO SENIOR HIGH SCHOOL,"2,618","2,545",97.2%
13,MIAMI-DADE,7459,IPREP  ACADEMY NORTH,522,516,98.9%
13,MIAMI-DADE,7461,MIAMI SENIOR HIGH SCHOOL,"3,100","2,966",95.7%
13,MIAMI-DADE,7511,MIAMI SPRINGS SENIOR HIGH SCHOOL,"1,037",974,93.9%
13,MIAMI-DADE,7516,KENDALL GREENS HIGH SCHOOL,482,391,81.1%
13,MIAMI-DADE,7531,MIAMI SUNSET SENIOR HIGH SCHOOL,979,910,93.0%
13,MIAMI-DADE,7541,NORTH MIAMI BEACH SENIOR HIGH,"1,075","1,012",94.1%
13,MIAMI-DADE,7551,SCHOOL FOR ADVANCED STUDIES HOMESTEAD,130,127,97.7%
13,MIAMI-DADE,7571,INTERNATIONAL STUDIES PREPARATORY ACADEMY,375,363,96.8%
13,MIAMI-DADE,7581,I PREPARATORY ACADEMY,781,773,99.0%
13,MIAMI-DADE,7591,NORTH MIAMI SENIOR HIGH SCHOOL,"1,748","1,623",92.8%
13,MIAMI-DADE,7601,WILLIAM H. TURNER TECHNICAL ARTS HIGH SCHOOL,"1,290","1,260",97.7%
13,MIAMI-DADE,7631,MIAMI MACARTHUR EDUCATIONAL CENTER,97,37,38.1%
13,MIAMI-DADE,7641,J.C. BERMUDEZ DORAL SENIOR HIGH,"1,133","1,064",93.9%
13,MIAMI-DADE,7672,ACADEMIR PREPARATORY HIGH SCHOOL,53,46,86.8%
13,MIAMI-DADE,7675,DORAL PARK HIGH SCHOOL,454,353,77.8%
13,MIAMI-DADE,7701,SOUTH DADE SENIOR HIGH SCHOOL,"3,382","3,211",94.9%
13,MIAMI-DADE,7721,SOUTH MIAMI SENIOR HIGH SCHOOL,"1,611","1,539",95.5%
13,MIAMI-DADE,7731,MIAMI SOUTHRIDGE SENIOR HIGH,"2,238","2,067",92.4%
13,MIAMI-DADE,7741,SOUTHWEST MIAMI SENIOR HIGH,"2,599","2,515",96.8%
