"Stability Rate by School
2024-25, Final Surveys 2 and 3",,,,,,
"Note: Distinct by District, School, Survey and FLEID.
The percent of students from the October membership who are still present in the February count membership.
*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
District  #,District Name,School #,School Name,Fall Student Enrollment (October 2024),"Count of Students Still Enrolled in Spring
(February 2025)",Stability Rate 
06,BROWARD,5441,SOMERSET PREPARATORY CHARTER MIDDLE SCHOOL,363,356,98.1%
06,BROWARD,5481,SANDRA MARIE CURTIS HIGH SCHOOL,384,354,92.2%
06,BROWARD,5501,"ARC BROWARD, INC.",69,67,97.1%
06,BROWARD,5511,"ANN STORCK CENTER, INC.",19,16,84.2%
06,BROWARD,5521,BAUDHUIN ORAL SCHOOL-NOVA UNIVERSITY,120,118,98.3%
06,BROWARD,5531,BROWARD CHILDREN'S CENTER NORTH,22,20,90.9%
06,BROWARD,5541,BROWARD CHILDREN'S CENTER SOUTH,20,20,100.0%
06,BROWARD,5555,INTERNATIONAL STUDIES ACADEMY HIGH SCHOOL,234,216,92.3%
06,BROWARD,5556,INTERNATIONAL STUDIES ACADEMY MIDDLE SCHOOL,288,275,95.5%
06,BROWARD,5561,UCP EARLY BEGINNINGS,*,*,*
06,BROWARD,5581,ALPHABET LAND-MARGATE,11,10,90.9%
06,BROWARD,5641,GULFSTREAM EARLY CHILDHOOD CENTER OF EXCELLENCE,48,43,89.6%
06,BROWARD,5710,RENAISSANCE CHARTER SCHOOLS AT PINES,761,724,95.1%
06,BROWARD,5717,SOUTH BROWARD MONTESSORI CHARTER SCHOOL,169,156,92.3%
06,BROWARD,5791,AVANT GARDE ACADEMY OF BROWARD,"1,122","1,080",96.3%
06,BROWARD,5801,PANACEA PREP CHARTER SCHOOL,115,110,95.7%
06,BROWARD,5852,NEW LIFE CHARTER ACADEMY,110,103,93.6%
06,BROWARD,5861,SUNED HIGH SCHOOL OF NORTH BROWARD,353,298,84.4%
06,BROWARD,6011,BROWARD DETENTION CENTER,78,8,10.3%
06,BROWARD,6091,"PACE CENTER FOR GIRLS, INC.",76,54,71.1%
06,BROWARD,6501,HENRY D PERRY EDUCATION CENTER,"1,014",735,72.5%
06,BROWARD,7001,BROWARD VIRTUAL INSTRUCTION PROGRAM,89,86,96.6%
06,BROWARD,7004,BROWARD VIRTUAL FRANCHISE,541,521,96.3%
07,CALHOUN,0021,BLOUNTSTOWN HIGH SCHOOL,658,628,95.4%
07,CALHOUN,0091,CARR ELEMENTARY & MIDDLE SCHOOL,205,195,95.1%
07,CALHOUN,0101,ALTHA PUBLIC SCHOOL,653,633,96.9%
07,CALHOUN,0131,BLOUNTSTOWN ELEMENTARY SCHOOL,484,467,96.5%
07,CALHOUN,7001,CALHOUN VIRTUAL INSTRUCTION PROGRAM,30,0,0.0%
07,CALHOUN,7004,CALHOUN VIRTUAL FRANCHISE,*,*,*
08,CHARLOTTE,0021,SALLIE JONES ELEMENTARY SCHOOL,634,606,95.6%
08,CHARLOTTE,0031,CHARLOTTE HIGH SCHOOL,"1,872","1,738",92.8%
08,CHARLOTTE,0041,PEACE RIVER ELEMENTARY SCHOOL,557,518,93.0%
08,CHARLOTTE,0042,CHARLOTTE HARBOR SCHOOL,130,113,86.9%
08,CHARLOTTE,0051,LEMON BAY HIGH SCHOOL,"1,343","1,272",94.7%
08,CHARLOTTE,0062,BAKER/HEAD START,165,146,88.5%
08,CHARLOTTE,0081,EAST ELEMENTARY SCHOOL,814,776,95.3%
08,CHARLOTTE,0111,NEIL ARMSTRONG ELEMENTARY SCHOOL,763,722,94.6%
08,CHARLOTTE,0121,PUNTA GORDA MIDDLE SCHOOL,"1,098","1,037",94.4%
